1,1,2,1024,512,5.6606e-12,0.27524,0.6704
2,1,2,1024,345,1.6377e-22,0.48631,0.91897
1,2,2,1024,512,1.2146e-11,0.47849,1.1529
2,2,2,1024,347,8.8404e-23,0.40823,0.93551
1,3,2,1024,512,5.9906e-12,0.41103,1.1425
2,3,2,1024,345,1.6494e-22,0.57079,0.95344
1,4,2,1024,512,8.323e-12,0.57471,1.1134
2,4,2,1024,335,8.1563e-23,0.26544,0.69768
1,5,2,1024,512,5.4506e-12,0.25914,0.68697
2,5,2,1024,362,8.9606e-22,0.59211,0.93272
1,6,2,1024,512,2.5209e-11,0.59123,1.13
2,6,2,1024,335,9.321e-23,0.44268,0.67734
1,7,2,1024,512,5.6277e-12,0.49151,0.63811
2,7,2,1024,335,8.2672e-23,0.52851,0.65408
1,8,2,1024,512,3.5387e-11,0.59031,1.1082
2,8,2,1024,337,8.1733e-23,0.4086,0.70109
1,9,2,1024,512,2.8505e-12,0.33792,0.66898
2,9,2,1024,331,5.4041e-23,0.35033,0.65352
1,10,2,1024,512,5.7284e-12,0.32065,0.65081
2,10,2,1024,355,4.2503e-22,0.49551,0.94013
1,1,4,1024,512,2.2437e-11,0.75134,1.609
2,1,4,1024,346,3.2536e-22,0.81552,1.4861
1,2,4,1024,512,3.0179e-11,0.94362,2.1153
2,2,4,1024,337,1.3303e-22,0.6297,1.5632
1,3,4,1024,512,8.9917e-12,0.62127,1.608
2,3,4,1024,345,4.5498e-22,0.90385,1.7697
1,4,4,1024,512,2.6528e-11,0.89877,2.246
2,4,4,1024,340,1.8343e-22,1.0134,1.4917
1,5,4,1024,512,1.0529e-11,1.0054,1.6734
2,5,4,1024,338,1.8235e-22,1.0077,1.4961
1,6,4,1024,512,1.5261e-11,0.89326,1.5977
2,6,4,1024,1024,7.9925e-13,0.79265,1.5086
1,7,4,1024,512,0.00046647,0.79591,1.6603
2,7,4,1024,344,3.1853e-22,0.96354,1.4718
1,8,4,1024,512,2.3162e-11,1.1418,2.0614
2,8,4,1024,333,1.2408e-22,0.78914,1.4409
1,9,4,1024,512,9.0282e-12,0.6892,1.1456
2,9,4,1024,336,1.8187e-22,0.98877,1.7855
1,10,4,1024,512,1.3538e-11,0.93815,2.0787
2,10,4,1024,340,1.3945e-22,0.92263,1.4589
1,1,8,1024,512,2.6212e-11,1.7099,3.5642
2,1,8,1024,343,8.9247e-22,1.6811,5.0734
1,2,8,1024,512,4.8859e-11,1.9062,7.7014
2,2,8,1024,342,5.4068e-22,1.7684,5.2095
1,3,8,1024,512,4.6754e-11,1.77,5.5637
2,3,8,1024,345,7.5191e-22,1.7368,6.0546
1,4,8,1024,512,5.4607e-11,1.846,9.6713
2,4,8,1024,338,4.3057e-22,1.912,5.536
1,5,8,1024,512,3.4594e-11,1.9955,6.0806
2,5,8,1024,335,3.975e-22,1.4413,4.9844
1,6,8,1024,512,2.817e-11,1.487,5.5546
2,6,8,1024,335,4.8824e-22,1.6009,5.2027
1,7,8,1024,512,3.0203e-11,1.6736,4.3245
2,7,8,1024,341,6.6189e-22,1.4202,4.6375
1,8,8,1024,512,4.2597e-11,1.528,4.0568
2,8,8,1024,347,8.7107e-22,2.0209,3.7842
1,9,8,1024,512,3.2113e-11,2.016,4.2896
2,9,8,1024,343,8.2903e-22,1.6084,3.4819
1,10,8,1024,512,2.1923e-11,1.6392,3.8822
2,10,8,1024,341,7.0749e-22,1.9309,3.3369
1,1,16,1024,512,7.1246e-11,3.4962,8.114
2,1,16,1024,336,1.2659e-21,3.6136,7.0295
1,2,16,1024,512,8.3135e-11,4.0339,8.9213
2,2,16,1024,334,1.3496e-21,3.7831,7.1425
1,3,16,1024,512,7.1586e-11,3.6259,8.0036
2,3,16,1024,331,1.001e-21,3.4758,6.5962
1,4,16,1024,512,9.7931e-11,3.5749,8.1724
2,4,16,1024,342,2.2973e-21,3.906,7.9948
1,5,16,1024,512,1.3987e-10,3.8176,8.415
2,5,16,1024,333,8.9376e-22,3.3574,6.4784
1,6,16,1024,512,6.2053e-11,3.3747,7.8342
2,6,16,1024,333,1.0448e-21,3.6787,7.2687
1,7,16,1024,512,6.2299e-11,3.5107,6.576
2,7,16,1024,336,1.2381e-21,3.5285,6.505
1,8,16,1024,512,7.9951e-11,3.747,8.6979
2,8,16,1024,333,8.3357e-22,3.4607,6.9854
1,9,16,1024,512,6.2151e-11,3.5738,7.7418
2,9,16,1024,333,1.2e-21,3.7024,6.1264
1,10,16,1024,512,1.0861e-10,3.844,7.508
2,10,16,1024,334,1.1111e-21,3.6838,6.7847
1,1,32,1024,512,1.5753e-10,6.6937,16.374
2,1,32,1024,334,3.713e-21,6.6937,14.736
1,2,32,1024,512,1.6229e-10,6.8913,21.519
2,2,32,1024,331,2.5442e-21,7.1985,14.927
1,3,32,1024,512,1.6604e-10,7.4544,21.206
2,3,32,1024,332,3.1759e-21,7.56,15.989
1,4,32,1024,512,1.7967e-10,7.5109,18.347
2,4,32,1024,339,6.9463e-21,7.9547,28.893
1,5,32,1024,512,2.2382e-10,8.1042,21.786
2,5,32,1024,330,2.0463e-21,6.9521,18.18
1,6,32,1024,512,1.5672e-10,7.0942,25.302
2,6,32,1024,329,2.7035e-21,6.5745,15.385
1,7,32,1024,512,1.4996e-10,6.3641,17.468
2,7,32,1024,332,2.8065e-21,7.3653,18.016
1,8,32,1024,512,3.4176e-10,7.4789,22.811
2,8,32,1024,333,4.6168e-21,7.0729,15.195
1,9,32,1024,512,1.5601e-10,7.0132,16.213
2,9,32,1024,330,2.8581e-21,8.4463,18.015
1,10,32,1024,512,1.9604e-10,8.3874,19.224
2,10,32,1024,331,2.6814e-21,6.7294,16.788
1,11,2,1024,512,7.8369e-12,0.47182,1.1157
2,11,2,1024,339,8.4065e-23,0.53083,0.95538
1,12,2,1024,512,5.0591e-12,0.53187,1.2235
2,12,2,1024,348,2.3811e-22,0.40076,0.95393
1,13,2,1024,512,1.8475e-11,0.40076,1.1012
2,13,2,1024,346,1.0219e-22,0.4028,1.0013
1,14,2,1024,512,1.2313e-11,0.40249,1.1337
2,14,2,1024,344,1.3674e-22,0.51903,0.9299
1,15,2,1024,512,1.4315e-11,0.58812,1.1353
